clip_id	duration	yt_url	candidate_1	p_ca_voxlingua	p_ca_mms	tier	review_verdict	review_notes
e88450bf-ea2b-4c28-adb1-4941c30c54b1	20.16	https://www.youtube.com/watch?v=MECQRFbf6nU&t=2354	amb tots ells centre tot s'ha aguiar ets de la mà a del robert i l'anna que ha estat un luxe poder participar d'una d'aq	1.0	0.9981	0		
26d2c779-8cf0-4adb-b4c7-83e5ed11b3d3	6.36	https://www.youtube.com/watch?v=UOIYXOuEDI8&t=1203	 ens adrecem a de ser festa bou fa que la geologia tocs més amb moto en ell	0.0	0.0	2	correct	
f5b9e6fe-5c66-499e-a0dc-a8ffdbbcc1df	18.72	https://www.youtube.com/watch?v=ucqQPkM8ilA&t=3446	 què fa als models de negoci que tenim en el sector públic l'objectiu i males i maximitzar el valor que generem en els a	1.0	0.9988	0		
dd562232-1205-4cdd-b992-c1e3918c03f2	13.80	https://www.youtube.com/watch?v=A5iW6-TlhhM&t=8656	 et puga tindre les condicions tècniques adequades i que puguem tindre un tapís a onze puguem fer les competicions ofici	0.9803	0.7766	0		
a517cffc-a073-4ed6-a5e2-a6e35933a1a0	9.72	https://www.youtube.com/watch?v=Hitvv10yWUc&t=40	nació torna a ser una eina útil per donar resposta als conflictes que es planteja a la ciutadania les recull el que fare	0.9996	0.9995	0		
2208a49a-9aad-4373-afae-888ee3763d7f	12.09	https://www.youtube.com/watch?v=jAzX9Zb4Zb4&t=1747	 val l'única un caos dir què és us apunto bé aquesta possibilitat no dic que sigui el vostre cas però sí que dic dones f	1.0	0.9998	0		
49dc853f-143f-4c08-8ca2-1369d241f25b	13.98	https://www.youtube.com/watch?v=GqhhCcWJEJY&t=14870	 el segon per una banda per l'altra simplement em donà l'enhorabona als conversar aromis informativa l'àrea sostenibilit	0.7828	0.9955	0		
bcf5f456-836b-464c-bafd-cb8845796919	20.16	https://www.youtube.com/watch?v=tJsfkZgHN18&t=7184	sobre la justícia restaurativa i tenia la possibilitat de prendre part en un procés del seu desig però això no sempre fu	0.9999	0.998	0		
88cba1f6-bbc7-480d-859a-b42705a0d9f9	14.58	https://www.youtube.com/watch?v=FyWPTpwLluk&t=13299	la meva novel·la gil i pep nogué fica i qui ho fica i com ho ficarem no ha llegit i dido va el tema està en que tot el p	0.9315	0.9956	0		
dc83dc5d-8931-4eae-9343-6e32ed1b5d4a	3.27	https://www.youtube.com/watch?v=z5rFsR0a0gM&t=3719	 la de la cooperadora titot cedit fa movent però	0.9998	0.9932	0		
123eb3a2-20e8-4678-8c0e-9bb19e8c838b	17.04	https://www.youtube.com/watch?v=4f0K_nuWZU4&t=2798	 utilitzin coses noves hem de lluitar a perquè hi ha tantes coses noves a la nostra vida és una lluita a holanda amb dis	0.9999	0.9988	0		
821484f6-03b0-4fc4-aec6-f4f946574021	17.46	https://www.youtube.com/watch?v=6i8Eu24v5Js&t=638	 dades eixiries personalitzades individus entren mímica i gràcies a la nadia el director provincial ajuda oficial de bar	0.9574	0.9944	0		
8f7be1bb-1db4-439d-b79f-7fb67b352390	11.88	https://www.youtube.com/watch?v=E8w7ZN3lM54&t=2543	 esdevé el val regal a la tarda hora en el qual i maquillada i que s'ha de dir la nena per la doble vida per fer viva la	0.0199	0.0268	2	correct	
6df9bbb0-120d-4db0-bbf9-ed5e48c6897c	19.62	https://www.youtube.com/watch?v=HIEtUjPCv9Q&t=3823	 bueno moltes gràcies a tot ha sigut un plaer us desitjo de tot cor que passeu aquest tram se lo millor que podeu que co	0.9815	0.936	0		
e4836053-740e-42bf-a14d-db564d6bfac9	18.90	https://www.youtube.com/watch?v=Wqm9dkS5DzU&t=2251	 el the gasti en llucià fill fer però era pitjor que els acaba de dera ciriaco ell no és menys enlluernar i preguntes i 	0.037	0.0006	2	correct	
3cc2193a-55d7-4d8b-97bd-ab7bc9d7dac9	3.21	https://www.youtube.com/watch?v=CqLGa0UqkRY&t=550	edu innates han d'avançar que hem de témer aquest paper	0.9997	0.997	0		
8d4d5c83-ae55-48ab-adb7-d6e02c57d681	19.11	https://www.youtube.com/watch?v=IgRA5bkKGaM&t=5464	 l'essència de déu de llei de la seva ajudant aquells que ja et deu el seu disseny molaria molt xammar era monjo nena di	0.0811	0.0195	1	correct	
f24853f4-e90f-4abc-9185-a25785f85fe3	4.83	https://www.youtube.com/watch?v=hva6Rtu2ImU&t=2468	 gràcies per la professora de la gent hagués gràcia estarà fet per les llicències	0.9338	0.9858	0		
085514f3-5ad7-4645-93b7-5b9a555848b6	4.68	https://www.youtube.com/watch?v=HXDnUYbg4rI&t=2427	 puresa tomada l'edifici han de connectar la bateria per a que siga estenent d'autonomia	0.0364	0.0052	2	correct	
70f5d36e-1b65-47e5-b516-ad30605d0a9d	6.51	https://www.youtube.com/watch?v=X8wqin7sNTU&t=16413	 i la tècnica ho notaven tan devota d'alegria porten ara l'informe assegura que no también per aquí	0.2541	0.9205	0		
1b249556-d0bc-4e6e-9d08-2fbc64fffbed	6.21	https://www.youtube.com/watch?v=iXehA5gkBzs&t=414	 ubica la persona se'n troba l'intervenció anar sortint abastament per tant penso que no cal no cal explicar-se	1.0	0.9993	0		
dce2e780-149d-45f6-8c77-0cd6a40fcf19	3.03	https://www.youtube.com/watch?v=W0o-46J6nDs&t=1176	edat ell la persona fa una tasca	0.9898	0.9942	0		
b024ac68-54ae-41ac-96bb-9d0d13e4ff5d	5.34	https://www.youtube.com/watch?v=W0o-46J6nDs&t=948	 lògicament és per un ordre judicial i és això les persones que no es a traves	0.9999	0.9993	0		
7d3a5840-fb6a-4e89-8108-ab7be46eec46	19.98	https://www.youtube.com/watch?v=nTSBxh7-tes&t=1268	 quan este fenomen un haver ideat empetitint guanyes o perquè pugui haver-hi totoro senyors alemània i ai un barrio en b	0.0254	0.0159	2	correct	
de4f8630-83e9-4df5-8ff1-a6dcd34a4390	19.92	https://www.youtube.com/watch?v=xIeEEUu8xBk&t=10056	 la historia a les oficines veiem que un rigor i una qualitat en la gestió molt alta tenint en compte que en nombre de t	1.0	0.9983	0		
00a7182d-8b4f-469e-844d-523b86599a4c	20.16	https://www.youtube.com/watch?v=sMnSnw-Zdzw&t=297	clip ció activa per part de tres víctimes adultes abusos sexuals infantils com són la vicki bernadet presidenta de la fu	0.9999	0.9983	0		
4d348f74-c151-4cba-9308-294898547ba1	3.21	https://www.youtube.com/watch?v=c-SpppnEZII&t=2130	 cuina per a ús familiar	0.5397	0.6027	0		
80e0eca5-54f7-4f9a-be75-5b9c02079776	17.01	https://www.youtube.com/watch?v=uk8LxVM5DDU&t=5096	moltes gràcies presidenta no farem el míting ben escrita que lloguin alt la moció hi ha coses que no podem dir que estem	0.9998	0.9998	0		
c9bf6d47-e8b1-4200-819b-6c56be4875c6	19.95	https://www.youtube.com/watch?v=FJh77SSomc0&t=11397	 la justícia social el laïcisme o la plores plurinacionalitat de l'estat quart continuat al treballa més que des de l'àr	0.9992	0.9983	0		
d1134fc6-3d94-4a00-b656-4450bd90f1ec	18.48	https://www.youtube.com/watch?v=8w3K1Vfxp0U&t=1854	 i va decidir planificava nupcial de planificar-ho i s'hi ha de ser estructurada per complet o la carrera judicial és un	0.329	0.6533	0		
e8631075-08c9-4acd-afb5-6163dffc56e8	20.16	https://www.youtube.com/watch?v=mb6LySCj53A&t=1618	doncs posem o a on anem a alguna d'aquestes pàgines estuporós maldita neutral secador lupa diferents contextos i abelló 	0.9998	0.9993	0		
