clip_id	duration	yt_url	candidate_1	ground_truth_lang	notes	source
01e44aac-1669-4b8b-a4be-7cd1c82cd651	19.98	https://www.youtube.com/watch?v=x27yFw1vfbE&t=1461	 les incidències i amb això ja cau a veure jo ho tinc escrit aquí jo noi no vull dir que aixó tacat sigui alcohol causan	ca		random_sample
0743b15d-3cdd-4020-8902-e92af6a220a7	5.37	https://www.youtube.com/watch?v=va6_gqt6MFw&t=14600	 gràcies doncs entén que passem a la votació vots a favor de la proposta	ca	The first word gràcies is another speaker but everything is catalan	random_sample
07b57c74-cf49-4de3-9740-7e538f1a5089	20.16	https://www.youtube.com/watch?v=xIeEEUu8xBk&t=9766	cost del parlament i per tant demanar aquella beguda el parlament és implique té sentit és el mot punt de vista local so	ca		random_sample
08a82571-7879-465c-94dc-58d80b6bf41c	4.35	https://www.youtube.com/watch?v=td413suiMXo&t=4754	ció i de sentiment d'estar prou es refugiava del tot	ca		random_sample
093790f6-7d07-48e9-a299-c0a52dffa0d0	8.88	https://www.youtube.com/watch?v=3P4QcwSF2qU&t=1436	 dependència national fardell fez en pateres si és convenient fer era per a fer visites	other	French	random_sample
0c9c0c30-8746-4d3b-a19b-a9cdd2011960	3.75	https://www.youtube.com/watch?v=FImuTC3WOEY&t=4448	avions efectiva o que realment report equipada sinó vessa faça	ca		random_sample
0d486c66-68f4-4577-80f5-60d326872bd0	3.06	https://www.youtube.com/watch?v=U7XXo1a11zU&t=975	 és preferible hotel miquel garcia	es		random_sample
140a623f-7a71-43d7-984a-92ae9784fa63	15.24	https://www.youtube.com/watch?v=39rRVR3zUYw&t=6947	 paco sort l'instituto llarguer l'actual director dels exigu arnera determinava línies iniciativa i sobrepassar i que hu	es		random_sample
16aef1f7-e816-4587-bb44-85ab196b7eca	20.16	https://www.youtube.com/watch?v=py6Gdq9OICc&t=315	propietari i llavors a on es pot possar en marxa el mecanisme que la pròpia normatiu que s' localitzar al propietari per	ca	Second speaker (male) towards the end. Main speaker woman.	random_sample
16fc117a-7477-4c8e-9530-83a7b92bd4be	20.10	https://www.youtube.com/watch?v=V3N48eyJmHU&t=8961	 no no en pot donar les excuses de que fa molts anys ja el tenien brut perquè vostès deien que tenien la solució i que a	ca		random_sample
190c8e75-7f7c-403b-87fb-611c368d8781	9.60	https://www.youtube.com/watch?v=VpDvjs1t99I&t=3287	estiraments efectuats durant l'any dos mil dinou és sense que s'hagi tramitat cap expedient de cura d'algun contacte con	ca		random_sample
